Review,Rating,Thumbs Up Count,Review Date
Banyak driver yang baik ramah dan cepat sampainya dari di jemput sampai lokasi juga,5,0,2024-10-21 08:07:43
Sangat membantu sekali,5,0,2024-10-21 08:05:48
Wow,5,0,2024-10-21 08:01:09
sbetul y q pengguna setia....trnyata gojek masih ok....🙏,5,0,2024-10-21 07:58:31
Terlalu gegabah,5,0,2024-10-21 07:49:59
aplikasi KoonTooL anjjing Babbi,1,1,2024-10-21 07:45:12
Aplikasi yang bagus mudah untuk pengguna mengakses apalagi dengan banyak nya gitu lebih mudah tidak di ragukan lagi deh,4,0,2024-10-21 07:43:32
Mantap,5,0,2024-10-21 07:28:11
Top,5,0,2024-10-21 07:00:33
Sangat baik memudah kan perjalan adanya gojek semogah sukses lalu,5,0,2024-10-21 06:55:27
Good,5,0,2024-10-21 06:47:44
aplikasi membantu,5,0,2024-10-21 06:41:05
benci maps kamu,1,0,2024-10-21 06:31:29
Kemana aja mau apa aja lebih mudah dah cepat,5,0,2024-10-21 06:24:50
"Aplikasi ngntot kalo ngasi iklan suka ga ngotak, gua apus lu ajg gua ganti yg lain mampus lu",1,0,2024-10-21 06:22:36
"Gojek dan Gocar sangat membantu dalam aktivitas sehari - hari, aman dan terpercaya. Apalagi ada Go Transit jadi hemat dan cepat. Harus lebih banyak promonya biar user tidak pindah ke lain hati thanks",5,0,2024-10-21 06:21:31
Mantap,5,0,2024-10-21 06:12:34
Top,5,0,2024-10-21 06:10:38
"Limit gopay pinjam naik terus,pembayaran ga pernah telat alias lancar, namun ketika mau mengajukan ulang pinjaman tiba tiba di tolak dengan alasan sebelum ny pernah di tolak, ga ngerti tolong pencerahan nya mas admin",2,3,2024-10-21 06:09:18
Terbantu dan gamoang sekali,5,0,2024-10-21 05:47:46
senantiasa tetap memberikan pekayanan terbaik pada masyarakat,5,0,2024-10-21 05:45:12
"Okk, past respon tqqq minn❤❤",5,0,2024-10-21 05:39:09
Aplikasi tidak membantu masalah makanan lama,1,0,2024-10-21 05:36:57
Mudah memesan mkn,5,0,2024-10-21 05:34:13
G..............o................o..............d,5,0,2024-10-21 05:33:27
Sangat terbantu dg adanya apk Gojek,5,0,2024-10-21 05:28:15
Bagus,5,0,2024-10-21 05:27:40
kelass,5,0,2024-10-21 05:23:59
BGUS BGT PERTAMA KALINYA PAKE INI CEPET BANGET ABANGNYA,5,0,2024-10-21 05:23:21
"diskonnya dikit banget, pdhl iklannya SAMPE 8rb. ya, bukan 8rb juga sih, tp kenapa harus 1500?",3,0,2024-10-21 05:16:33
"Sejauh ini saya selalu bertemu draiver2 yang ramah dan sopan mereka memberi saya kemudahan,dan komunikasi yg baik",4,0,2024-10-21 05:00:16
"Cuman gojek yang semua layanan OKE, cuman tolong yah? Layanan GOCARnya mobilnya dipisah kalau customer pilih layanan non hemat minimal mobil yg non hemat juga",5,0,2024-10-21 04:51:06
"Tolong iklan gofood yg awalnya kuda terus melet2 lidah dihilangkan saja, sangat sangat tidak enak dilihat.",1,0,2024-10-21 04:50:59
GO-JEK semakin di depan,5,0,2024-10-21 04:34:48
"parah aplikator, ada notifikasi 14 hari tidak menjalankan trip akan terkena suspen jika tidak menyelesaikan 1 trip 16 hari k depan,, woyy onbid 8 jam ga di kasih sama sekali gimana ga jengkel gimana mau jalankan trip, orderan aja ga ada masuk",1,0,2024-10-21 04:16:55
Ok,5,0,2024-10-21 03:53:20
Good job,5,0,2024-10-21 03:50:35
"Aplikasi nya dah bagus,TAPI, KALO SAYA ORDER GOJEK PASTI DIKASI NYA YANG JARAK NYA JAUH",1,0,2024-10-21 03:47:07
"Buat para customer gojek terhormat, tahukah anda begitu mendapat driver, chat yg paling di benci driver begitu order masuk: ""posisi sudah dimana?""( padahal order baru aja diterima) atau ""tolong cepat ya, pak..saya buru2"". Emang anda tau gimana perjuangan meloloskan diri dari kemacetan? Kami pertaruhkan nyawa, kalau kami di suruh buru2... ente enak tinggal nunggu. Jemputnya gak bayar, antarnya doang yg lu bayar!",5,0,2024-10-21 03:32:18
"terimakasih pak, sampai dgn cepat",5,0,2024-10-21 03:30:19
Gojek mantaap dah,4,0,2024-10-21 03:12:03
Mantap nyaman terpercaya,5,0,2024-10-21 03:08:11
Sangat membantu,5,0,2024-10-21 03:01:26
Mantap,5,0,2024-10-21 02:57:11
Ok,5,0,2024-10-21 02:57:11
Aplikasi transportasi terbaik pembayaran mudah dan biaya hemat,5,0,2024-10-21 02:53:58
iklan gojek y terlalu sering muncul di hape jd mengganggu aktivitas,1,0,2024-10-21 02:51:47
spam double w in the chatt :3,5,0,2024-10-21 02:49:32
Ok,5,0,2024-10-21 02:49:16
Ok,5,0,2024-10-21 02:36:47
"Selalu banyak promo, enakin bgt dan mudahh",5,0,2024-10-21 02:34:43
